"","deploy_id","rw","rr","art","rotationRange","enoughRotation"
"1",45,0.608326825299561,0.801769886102815,FALSE,318.510340910273,TRUE
"2",46,0.0953629245867207,0.254624920941381,FALSE,154.673591006665,TRUE
"3",47,0.0675150262370603,0.185167917130273,FALSE,333.219197156344,TRUE
"4",48,0.271840411785575,0.180055078460037,TRUE,156.870380495906,TRUE
"5",50,0.369421777072044,0.375431525618042,FALSE,132.624268652828,TRUE
"6",72,0.347288302024557,0.348187738858855,FALSE,432.636666610061,TRUE
"7",79,0.301197516266594,0.315857864907891,FALSE,148.9702894917,TRUE
"8",80,0.374121018333701,0.386425528793449,FALSE,86.2157531964664,TRUE
"9",81,0.236687056744643,0.815372964869897,FALSE,343.881823086443,TRUE
"10",82,0.130661785488559,0.823309735108658,FALSE,223.550137498296,TRUE
"11",84,0.972766133982247,0.895537644697959,TRUE,162.213972887889,TRUE
"12",87,0.877679791936401,0.871955690800506,FALSE,204.061427996404,TRUE
"13",89,0.765856899888814,0.730554417399625,FALSE,203.930245343912,TRUE
"14",90,0.173037243690358,0.178039305460756,FALSE,412.920858164628,TRUE
"15",93,0.609257511820424,0.538614334166484,TRUE,350.044759006784,TRUE
"16",100,0.111689101896764,0.448723229776787,FALSE,662.280172754672,TRUE
"17",105,0.512988434405862,0.528067113232272,FALSE,152.300225885941,TRUE
"18",107,0.220641635291154,0.178045674797227,TRUE,404.327690754039,TRUE
"19",111,0.37960626907899,0.447781237493584,FALSE,378.14002332528,TRUE
"20",113,0.10682265544957,0.068873849780526,TRUE,190.944930248235,TRUE
"21",116,0.156250237113363,0.159771647906041,FALSE,398.180581615333,TRUE
"22",117,0.00787303918053028,0.0595180289097704,FALSE,179.004964375106,TRUE
"23",119,0.152043944053965,0.153022324094588,FALSE,87.1835867473868,TRUE
"24",120,0.05299444951901,0.0578457301321945,FALSE,486.858800310237,TRUE
"25",121,0.332291334110291,0.319623208814476,FALSE,256.10027679169,TRUE
"26",122,0.497948108266709,0.506872421676589,FALSE,418.293576453498,TRUE
"27",123,0.491089872623072,0.495941172135452,FALSE,304.060139177817,TRUE
"28",124,0.268561255127191,0.259047759697389,FALSE,441.637046054853,TRUE
"29",125,0.933365046773969,0.972811685398323,FALSE,320.130113141634,TRUE
"30",126,0.301208986131308,0.438764094208328,FALSE,284.333400994486,TRUE
"31",127,0.647033580105751,0.744510657258136,FALSE,207.061906593744,TRUE
"32",129,0.0503798307716317,0.0503798307716317,FALSE,0,FALSE
"33",132,0.342077497142778,0.336120452962939,FALSE,136.573357483987,TRUE
"34",134,0.484590881491471,0.494591936601931,FALSE,113.529661052445,TRUE
"35",137,0.847235303956355,0.856667032806989,FALSE,92.7570617127558,TRUE
"36",138,0.362473722342147,0.397873623075982,FALSE,298.990924346886,TRUE
"37",140,0.130065193352865,0.109460918820048,TRUE,223.069290236665,TRUE
"38",141,0.127696409974465,0.112222492664532,TRUE,170.386868025986,TRUE
"39",142,0.449391811044278,0.453466150097936,FALSE,81.5037858203567,TRUE
"40",143,0.209944653415305,0.434869117012247,FALSE,328.674044325539,TRUE
"41",144,0.398009435119544,0.386125542608889,FALSE,126.693444812702,TRUE
"42",145,0.156541625393083,0.173532747103016,FALSE,141.05858482224,TRUE
"43",147,0.563390168162791,0.591624545584078,FALSE,80.0822161763475,TRUE
"44",148,0.969677166507209,0.974043342974917,FALSE,84.9700489411976,TRUE
"45",149,0.683312990889822,0.706191677676879,FALSE,84.2359135596822,TRUE
"46",150,0.119764365505529,0.122309143808797,FALSE,19.1246657323288,FALSE
"47",151,0.530675864635157,0.511210337249942,FALSE,172.078925920508,TRUE
"48",152,0.564775356961695,0.583097310892721,FALSE,24.6971248166673,FALSE
"49",153,0.335855475362005,0.393598267206621,FALSE,108.938779607694,TRUE
"50",154,0.788419700012179,0.781665770172505,FALSE,129.880948052869,TRUE
"51",155,0.758905722212289,0.759962438694112,FALSE,69.9770230212595,TRUE
"52",156,0.149650827121681,0.115380892283987,TRUE,254.256004320879,TRUE
"53",157,0.105461895719205,0.0802049873927532,TRUE,326.182407993906,TRUE
"54",158,0.116865554571476,0.106271467499501,TRUE,137.015348533644,TRUE
"55",159,0.512302167804065,0.498382158790531,FALSE,83.5337412287183,TRUE
"56",160,0.0350406949715345,0.0316247113541419,TRUE,158.357042242671,TRUE
"57",161,0.688495431636021,0.678431480055452,FALSE,277.221208282934,TRUE
"58",162,0.23356560499833,0.175015670763662,TRUE,260.386587522425,TRUE
"59",163,0.657906637838556,0.669992272138162,FALSE,94.8969577767783,TRUE
"60",164,0.269935053498516,0.341772161560907,FALSE,138.634735547264,TRUE
"61",166,0.032940390175854,0.0687452479289322,FALSE,168.894448237757,TRUE
"62",167,0.148902252994702,0.139993991229098,TRUE,158.070519408274,TRUE
"63",169,0.0994425957452223,0.14230066313032,FALSE,200.622764457563,TRUE
"64",170,0.157028901075119,0.155989419412944,FALSE,221.134169428909,TRUE
"65",171,0.581936374165959,0.586497847986389,FALSE,142.75984174236,TRUE
"66",172,0.397953304711135,0.405131858051949,FALSE,341.780855199317,TRUE
"67",173,0.409687624625654,0.427554345758451,FALSE,116.181586193462,TRUE
"68",174,0.725117937632888,0.761376095165627,FALSE,204.299809107309,TRUE
"69",175,0.215940609964125,0.333900420622685,FALSE,547.505365133718,TRUE
"70",176,0.569410964198163,0.463156707668752,TRUE,97.2641110693133,TRUE
"71",177,0.21232462315583,0.181617000067962,TRUE,273.288463336835,TRUE
"72",179,0.150006978265171,0.127997763801186,TRUE,164.452087168304,TRUE
