"","deploy_id","speed.mean","turn.abs.mean","mean","current_bearing","r","meanTemp","signif","art"
"1",105,0.643052717831231,41.2780390990453,333.468464608862,NA,0.528067113232272,86.3093555555556,TRUE,FALSE
"2",107,0.555516951859367,41.1487229251286,237.177324712015,28.177324712015,0.178045674797227,86.2773111111111,TRUE,TRUE
"3",111,0.874414090090414,43.2600892064227,110.887332595055,-84.112667404945,0.447781237493584,86.109,TRUE,FALSE
"4",113,0.673467365428069,43.8494536061209,19.0053382722434,NA,0.068873849780526,85.374,TRUE,TRUE
"5",117,0.501979283118487,60.7067688415055,76.8890506941312,-104.110949305869,0.0595180289097704,85.735,FALSE,FALSE
"6",119,0.511600794977722,37.6730252985817,46.7197567999344,-129.280243200066,0.153022324094588,85.438,TRUE,FALSE
"7",121,0.861580613006759,46.6450309233464,213.487600222263,NA,0.319623208814476,85.7249444444444,TRUE,FALSE
"8",123,0.601704056760803,56.5673618615434,239.487705305991,56.487705305991,0.495941172135452,85.6605888888889,TRUE,FALSE
"9",125,0.22845344781304,73.7343080634261,129.626259222283,-55.373740777717,0.972811685398323,85.6384666666667,TRUE,FALSE
"10",126,0.711901831138577,60.1369072503255,224.825928211497,0.825928211497001,0.438764094208328,85.124,TRUE,FALSE
"11",132,0.414047707316511,51.7234929820801,116.867600328564,-76.132399671436,0.336120452962939,85.6024333333333,TRUE,FALSE
"12",134,0.31696188318247,58.0563563338799,13.9720808198733,-179.027919180127,0.494591936601931,85.735,TRUE,FALSE
"13",137,0.310847654123268,58.2897742059315,42.7645073720128,-152.235492627987,0.856667032806989,85.5424222222222,TRUE,FALSE
"14",141,0.749085770398739,44.9188353066246,289.984032924596,75.984032924596,0.112222492664532,85.3720555555556,TRUE,TRUE
"15",142,1.24354340272143,39.5335885561085,59.1224967356131,-121.877503264387,0.453466150097936,85.09,TRUE,FALSE
"16",144,0.694167794636153,62.9047341344013,43.2001948836722,-142.799805116328,0.386125542608889,85.206,TRUE,FALSE
"17",148,0.631302822826713,106.869512052293,263.472846322875,71.472846322875,0.974043342974917,85.374,TRUE,FALSE
"18",150,0.786092597979078,47.0104076516297,194.664143819776,0.664143819776001,0.122309143808797,85.394,TRUE,FALSE
"19",152,0.429418059893091,57.0143554392129,211.640710699227,196.640710699227,0.583097310892721,85.857,TRUE,FALSE
"20",154,0.422764011800907,53.2281380644539,188.741702587331,173.741702587331,0.781665770172505,85.9051098901099,TRUE,FALSE
"21",156,0.817154251790408,40.9395074474082,170.049418130557,168.049418130557,0.115380892283987,85.5401,TRUE,TRUE
"22",158,1.11610122221501,41.4570538250672,68.3206169650117,66.3206169650117,0.106271467499501,85.831,TRUE,TRUE
"23",160,0.682333612008734,51.9994311384814,270.748546414416,252.748546414416,0.0316247113541419,85.915,FALSE,TRUE
"24",162,0.848908689158319,36.7140769635257,76.0637086899514,63.0637086899514,0.175015670763662,85.867,TRUE,TRUE
"25",164,0.83537337851781,36.448952573642,274.135730027774,247.135730027774,0.341772161560907,85.887,TRUE,FALSE
"26",166,0.460549521434302,42.2390105283647,61.0280360361296,-195.97196396387,0.0687452479289322,85.554,TRUE,FALSE
"27",169,0.707587763208952,40.5699308925653,298.68451162171,23.68451162171,0.14230066313032,85.7148888888889,TRUE,FALSE
"28",170,0.875109180207101,45.0906745441041,280.585966757967,-43.414033242033,0.155989419412944,85.915,TRUE,FALSE
"29",172,0.780865271642953,59.5078577253857,284.887020655271,-24.112979344729,0.405131858051949,85.9210666666667,TRUE,FALSE
"30",174,0.637067664352728,46.2298238391022,150.650035684533,-207.349964315467,0.761376095165627,85.6686333333333,TRUE,FALSE
"31",176,0.223050100322482,68.8957343319901,57.5975058610843,-21.4024941389157,0.463156707668752,85.554,TRUE,TRUE
"32",180,0.54380366318929,49.6187549353762,159.719167076764,38.719167076764,0.435475964831407,85.554,TRUE,FALSE
"33",181,0.642226728438655,49.8662593020843,190.04524391143,-18.95475608857,0.223513744630622,85.522,TRUE,FALSE
"34",183,0.639021380144048,35.3971408148446,159.063195301269,-191.936804698731,0.326969610353091,86.109,TRUE,FALSE
"35",189,0.668114408493448,49.4232094607698,25.5886398221478,-284.411360177852,0.358699792650435,86.0686888888889,TRUE,FALSE
"36",193,0.756662179626148,41.412695201766,140.797867506088,-194.202132493912,0.164846619756153,86.265,TRUE,FALSE
"37",195,0.620253335898768,44.5914197062353,306.169769854372,290.169769854372,0.457558329035808,86.2790222222222,TRUE,FALSE
"38",199,0.47085416489147,70.4481125903333,7.25330090115231,-1.74669909884769,0.489556460827606,86.099,TRUE,FALSE
"39",201,0.423850689104975,51.5616874715481,330.511403015313,-4.48859698468698,0.394796579778324,85.759,TRUE,FALSE
"40",204,0.757517325233812,51.4693690156716,77.7945597031925,49.7945597031925,0.20355078458576,87.114,TRUE,FALSE
"41",206,0.620558176129708,49.9945331382213,62.7142471204535,50.7142471204535,0.729453870265802,87.236,TRUE,FALSE
"42",208,0.635129368280925,70.94815705912,244.141006060637,230.141006060637,0.610173406431631,87.366,TRUE,FALSE
"43",210,0.66221241125934,44.8503293367458,112.438157578093,98.438157578093,0.25593430560708,87.4208131868132,TRUE,TRUE
"44",215,0.557959521837849,59.9775419402485,261.258693665199,-68.741306334801,0.860916005862616,86.4387777777778,TRUE,FALSE
"45",217,0.470938906956991,43.3273521006379,216.031116105375,NA,0.481027275093937,86.459,TRUE,FALSE
"46",223,0.340889256606059,72.2571841500878,183.524420968097,-164.475579031903,0.973051999243768,86.4610222222222,TRUE,FALSE
