"","deploy_id","meanSpeed","meanThirdQuartile","maxSpeed","displacementSpeed","displacementAngle","currentSpeed","currentDirection","swimSpeed","swimDirection"
"1",45,0.503696089177241,1.01064680721698,5.42923959325396,NA,NA,0.0666666666666667,NA,0.643052717831231,333.468464608862
"2",46,0.554923011148288,1.01619511898869,11.8538978703258,2.30465992679088,35.5355639402141,1.8,209,0.555516951859367,237.177324712015
"3",47,0.392408624219611,0.750460776353226,1.99169859098109,5.5581707579477,5.99673803703741,5.4,195,0.874414090090414,110.887332595055
"4",48,0.489784682834296,0.844511379058972,1.94323170383534,NA,NA,0.0666666666666667,NA,0.673467365428069,19.0053382722434
"5",50,0.612781438929744,1.10929827847968,2.18155883497242,7.69303663594563,357.371772666182,7.8,181,0.501979283118487,76.8890506941312
"6",72,0.7539333950012,1.28186504906971,6.46832065265346,7.8194658845151,353.09707110887,8.13333333333333,176,0.511600794977722,46.7197567999344
"7",79,0.842800730634266,1.37824444364025,2.56235893656094,NA,NA,0.0666666666666667,NA,0.861580613006759,213.487600222263
"8",80,0.814590597073844,1.34020735171056,2.57590649310206,6.81736115881383,7.22014056398645,6.46666666666667,183,0.601704056760803,239.487705305991
"9",81,0.454086245261338,0.821449555191273,1.81428980270014,6.79907806380937,3.41561732254872,6.66666666666667,185,0.22845344781304,129.626259222283
"10",82,0.457515781746148,0.856998770468418,2.86600038420388,2.24518465165858,44.2618766744428,1.53333333333333,224,0.711901831138577,224.825928211497
"11",84,0.163396496490141,0.410734214290487,1.97571116776625,6.44511974749909,9.42416806295699,6.33333333333333,193,0.414047707316511,116.867600328564
"12",87,0.320413910411961,0.624208576829318,1.30736231529645,6.14975275137498,12.9499007784978,6.46666666666667,193,0.31696188318247,13.9720808198733
"13",89,0.540681707225203,1.11786449507144,3.45311091630053,6.65984808742905,13.7541217984546,6.93333333333333,195,0.310847654123268,42.7645073720128
"14",90,0.816496364391833,1.39154261727933,3.308630919314,5.82692584469937,41.1650819432966,5.6,214,0.749085770398739,289.984032924596
"15",93,0.659077001466384,1.1094509491124,2.08039102073283,4.40505692810293,347.129839743026,4.93333333333333,181,1.24354340272143,59.1224967356131
"16",100,0.457671643763283,0.800109832746429,2.25794791597943,3.93618161881101,359.879205813628,4.46666666666667,186,0.694167794636153,43.2001948836722
"17",105,0.643052717831231,0.993549389244291,2.01722581479128,4.77162644178075,19.2065481319867,4.53333333333333,192,0.631302822826713,263.472846322875
"18",107,0.555516951859367,0.907868286268087,2.07281698053347,3.25271921680816,14.160501874731,2.46666666666667,194,0.786092597979078,194.664143819776
"19",111,0.874414090090414,1.33431330182162,2.54750924738746,7.25627499742032,14.0289617706525,7.66666666666667,15,0.429418059893091,211.640710699227
"20",113,0.673467365428069,1.02235185669188,1.49067642430257,4.37999788597712,15.6028710128161,4.8,15,0.422764011800907,188.741702587331
"21",116,0.548697829145256,0.903020855599627,4.12535725687046,2.27352826227072,6.26816257526107,3.06666666666667,2,0.817154251790408,170.049418130557
"22",117,0.501979283118487,0.98165231589711,1.88994761218246,5.28143236873719,13.1590609279212,4.73333333333333,2,1.11610122221501,68.3206169650117
"23",119,0.511600794977722,0.791100758424076,2.14163783802211,0.840575361941779,327.174343597011,0.733333333333333,18,0.682333612008734,270.748546414416
"24",120,0.590282448980745,0.963374188961039,2.44067463781665,5.10760272559469,21.5210915764976,4.66666666666667,13,0.848908689158319,76.0637086899514
"25",121,0.861580613006759,1.26983424488218,1.93520270979259,1.54715232867073,357.16406408742,1.66666666666667,27,0.83537337851781,274.135730027774
"26",122,0.63821646344041,1.19693789808995,4.03596984874858,3.95925799836383,78.834237765687,4.4,257,0.460549521434302,61.0280360361296
"27",123,0.601704056760803,0.98988936548645,2.15708225403613,8.05300629164297,277.022726718617,7.4,275,0.707587763208952,298.68451162171
"28",124,0.825956637916071,1.46043372118957,4.04758045150935,9.52136574640423,320.378409311689,8.86666666666667,324,0.875109180207101,280.585966757967
"29",125,0.22845344781304,0.444401059965805,1.38569853599726,7.71932291099739,306.631491886315,7,309,0.780865271642953,284.887020655271
"30",126,0.711901831138577,1.157693328571,2.27689674944977,4.44379481276908,1.77644050986901,5,358,0.637067664352728,150.650035684533
"31",127,0.813398221054543,1.46369308314556,4.09765216397799,2.34241647427385,77.0086717867906,2.13333333333333,79,0.223050100322482,57.5975058610843
"32",129,0.530109691935146,1.25990397410159,3.52933468463378,5.5014794949223,304.544804091479,5.06666666666667,121,0.54380366318929,159.719167076764
"33",132,0.414047707316511,0.76154434589377,2.1229345152347,9.74296909747307,27.7731328675245,9.13333333333333,209,0.642226728438655,190.04524391143
"34",134,0.31696188318247,0.676618317672579,2.58593392279661,0.589796735398098,3.94966847889119,1.2,351,0.639021380144048,159.063195301269
"35",137,0.310847654123268,0.624365818513969,1.14215841515764,6.0012701513423,316.189994260791,5.8,310,0.668114408493448,25.5886398221478
"36",138,0.495321331784394,1.22065722880754,5.1200249676726,0.441163178589664,310.114800751387,0.333333333333333,335,0.756662179626148,140.797867506088
"37",140,0.606390105466129,1.0391070614191,2.91165562292603,0.714325053434829,321.406903031059,0.2,16,0.620253335898768,306.169769854372
"38",141,0.749085770398739,1.21992071555975,2.27635713407008,6.87065037182847,8.88031500478822,6.4,9,0.47085416489147,7.25330090115231
"39",142,1.24354340272143,1.78160948025622,4.61329772972404,8.42261602765789,334.774351056153,8,335,0.423850689104975,330.511403015313
"40",143,0.652609154307182,1.15540172298406,2.32474110247316,8.84128283784983,31.7519141067499,8.33333333333333,28,0.757517325233812,77.7945597031925
"41",144,0.694167794636153,1.56491367033111,2.82082196752991,6.94289749270117,15.9668982855031,6.53333333333333,12,0.620558176129708,62.7142471204535
"42",145,0.877728504875664,2.18547586440377,7.01322143214042,6.87691591327211,9.93459184831831,7.26666666666667,14,0.635129368280925,244.141006060637
"43",147,0.474444784755599,0.979723485126993,1.94154354101795,8.12925995568793,18.6218206306524,8.2,14,0.66221241125934,112.438157578093
"44",148,0.631302822826713,1.27902462091193,3.24688094254699,0.90086342273803,294.745094629224,0.533333333333333,330,0.557959521837849,261.258693665199
"45",149,0.412671986829145,0.765447101004355,1.61841885421771,NA,NA,0.0666666666666667,NA,0.470938906956991,216.031116105375
"46",150,0.786092597979078,1.37897466366271,2.45100595924922,0.21539719966305,13.0610349945032,0.133333333333333,348,0.340889256606059,183.524420968097
"47",151,0.353325959143009,0.858603014020995,2.59034170466348,2.06174432179768,290.650453104674,2.13333333333333,296,0.208422173451698,183.258970135995
"48",152,0.429418059893091,0.68366817100126,1.18942358960315,6.60812132571898,39.7059244643874,6.06666666666667,218,0.573331752926512,238.067026427007
"49",153,0.455993659158956,0.88251608132152,2.51481959997241,7.95293724060436,347.640354535696,8.6,348,0.649141761643664,172.41050922717
"50",154,0.422764011800907,0.699248781905262,2.45837930368551,1.86877894851601,336.718598369008,2.26666666666667,342,0.440772682178698,184.970711625937
"51",155,0.513603243910719,0.960500370830761,2.44859169417764,2.4084679206379,10.9774511809201,2.46666666666667,359,0.511919011239481,101.480868016744
"52",156,0.817154251790408,1.26403005628657,3.00405142155265,2.47172336529305,356.278833086887,2.8,3,0.450435981695953,222.958500030285
"53",157,0.977354849624192,2.06524823379614,4.28574375497879,4.15530252589362,59.9105678978763,4,239,0.168275911611264,262.105218281379
"54",158,1.11610122221501,1.67127538908525,4.12733635017301,2.13699257656686,32.1559021039388,2.26666666666667,8,0.930115827757701,117.913542119598
"55",159,1.10168471547317,2.08936139744717,8.85847892168572,3.83815730452328,349.859733371052,3.86666666666667,351,0.0817958172122564,240.032695183107
"56",160,0.682333612008734,1.08334654623565,1.8932128427798,5.62730874392405,6.04507060776826,5.93333333333333,5,0.323664930858679,166.512021509796
