"","trackNb","rotation","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","dir.n","dir.mean","dir.se.mean","dir.kappa","dir.se.kappa","dir.variance","dir.r","dir.p.value","dir.signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","speed.mad","bin.angle","deploy_id","fileName"
"22",1,"rotated",410,116.867600328564,5.77849243044413,0.713789915830829,0.0765243890132982,0.663879547037062,0.336120452962939,7.64256900511359e-21,TRUE,399,187.763043798713,138.979682629411,0.029189253701112,0.0708105429176805,0.985406927279321,0.0145930727206792,0.918539701666625,FALSE,388,51.7234929820801,0.451030927835052,399,0.414047707316511,0.263398166095609,0.374527786900543,0.233903907567012,0,132,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/132/stats.csv"
"24",1,"rotated",324,13.9720808198733,4.2593558874763,1.13483499307029,0.0975784799974011,0.505408063398069,0.494591936601931,3.79321793895787e-35,TRUE,317,109.817900028699,31.3564024776055,0.145329506138234,0.079744723225579,0.927526410917373,0.0724735890826265,0.189187348441611,FALSE,311,58.0563563338799,0.463022508038585,317,0.31696188318247,0.280983754593843,0.247291076997205,0.210607714988658,0,134,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/134/stats.csv"
"26",1,"rotated",415,42.7645073720128,1.56008925543718,3.79972538508975,0.236012808688279,0.143332967193011,0.856667032806989,5.38856573657551e-133,TRUE,393,133.476427762801,26.4137535579232,0.154974954330537,0.0716589139298765,0.922744218377352,0.0772557816226478,0.0957894115155329,FALSE,373,58.2897742059315,0.458445040214477,393,0.310847654123268,0.22143683340946,0.259031597434299,0.191977606714638,0,137,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/137/stats.csv"
"28",1,"rotated",672,289.984032924596,13.8824436958797,0.225873135451994,0.055076431099656,0.887777507335468,0.112222492664532,0.000211118147209746,TRUE,671,24.2717775667125,208.982001152672,0.0149683375373607,0.0545974025630078,0.99251604082805,0.00748395917195014,0.963114984696555,FALSE,670,44.9188353066246,0.38955223880597,671,0.749085770398739,0.350052083117993,0.719726052587963,0.34144856279819,0,141,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/141/stats.csv"
"30",1,"rotated",880,59.1224967356131,2.84964031839137,1.01615800900214,0.0569217281735503,0.546533849902064,0.453466150097936,2.58172808742243e-79,TRUE,848,30.9971149820411,58.077018805411,0.0479178913729831,0.0485852013445514,0.976047928270888,0.0239520717291124,0.614774911568375,FALSE,818,39.5335885561085,0.336185819070905,848,1.24354340272143,0.439171557065158,1.21388742044098,0.329409143469265,0,142,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/142/stats.csv"
"32",1,"rotated",833,43.2001948836722,3.49415550734511,0.83697223390285,0.0554465682302088,0.613874457391111,0.386125542608889,1.15624820112132e-54,TRUE,808,303.454748347361,27.0584535645961,0.105421767612108,0.0498555378073817,0.947362207314406,0.0526377926855944,0.106591056043664,FALSE,783,62.9047341344013,0.503192848020434,808,0.694167794636153,0.586709202963471,0.492840078612424,0.430809970480259,0,144,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/144/stats.csv"
"34",1,"rotated",878,263.472846322875,0.443419690491093,19.5228316332298,0.919076250397729,0.0259566570250827,0.974043342974917,0,TRUE,859,71.0364682121788,119.565295994368,0.0231233321450817,0.0482571815692476,0.988439106594813,0.0115608934051866,0.891536405586958,FALSE,843,106.869512052293,0.810201660735469,859,0.631302822826713,0.47424473234912,0.536812928461152,0.460157618409158,0,148,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/148/stats.csv"
"36",1,"rotated",571,194.664143819776,13.8099681733786,0.246470783890004,0.0598572414570966,0.877690856191203,0.122309143808797,0.000195121186651268,TRUE,571,36.997263429443,30.2659466386611,0.112125946195644,0.0593225133183021,0.944024946566706,0.0559750534332939,0.167117023488403,FALSE,571,47.0104076516297,0.404553415061296,571,0.786092597979078,0.426512052607555,0.711038745034928,0.387798619609305,0,150,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/150/stats.csv"
"38",1,"rotated",78,211.640710699227,7.08517401213698,1.44192101271032,0.222623798571658,0.416902689107279,0.583097310892721,3.03687232774976e-12,TRUE,60,314.798002961653,36.5019736648495,0.288057154424892,0.185415495426632,0.857444465948042,0.142555534051958,0.295429568524958,FALSE,45,57.0143554392129,0.533333333333333,60,0.429418059893091,0.197325461187531,0.403044915373543,0.15050265843859,0,152,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/152/stats.csv"
"40",1,"rotated",557,188.741702587331,1.68566723531585,2.65597298264418,0.136693554464626,0.218334229827495,0.781665770172505,1.57590102276016e-148,TRUE,539,41.6160133271874,74.0097265500932,0.0471644543261084,0.0609398974738574,0.976424327696213,0.0235756723037869,0.741127322695606,FALSE,524,53.2281380644539,0.471374045801527,539,0.422764011800907,0.22290583759642,0.39870951059812,0.207119774767704,0,154,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/154/stats.csv"
