FID,lon,lat
98088,-86.50678,15.95865
98088,-86.50604,15.95866
98088,-86.50604,15.95866
98088,-86.50537,15.95845
98088,-86.50537,15.95845
98088,-86.50487,15.95816
98088,-86.50487,15.95816
98088,-86.50445,15.95806
98088,-86.50445,15.95806
98088,-86.50407,15.95787
98088,-86.50407,15.95787
98088,-86.50373,15.95781
98088,-86.50373,15.95781
98088,-86.50283,15.95792
98088,-86.50283,15.95792
98088,-86.50227,15.95862
98088,-86.50227,15.95862
98088,-86.50193,15.95871
98088,-86.50193,15.95871
98088,-86.50174,15.9591
98088,-86.50174,15.9591
98088,-86.50153,15.95981
98088,-86.50153,15.95981
98088,-86.50122,15.96013
98088,-86.50122,15.96013
98088,-86.50113,15.96046
98088,-86.50113,15.96046
98088,-86.50118,15.96093
98088,-86.50118,15.96093
98088,-86.50103,15.96105
98088,-86.50103,15.96105
98088,-86.50089,15.96083
98088,-86.50089,15.96083
98088,-86.50048,15.96105
98088,-86.50048,15.96105
98088,-86.50009,15.96139
98088,-86.50009,15.96139
98088,-86.49975,15.96194
98088,-86.49975,15.96194
98088,-86.49973,15.96235
98088,-86.49973,15.96235
98088,-86.49961,15.96256
98088,-86.49961,15.96256
98088,-86.49925,15.96276
98088,-86.49925,15.96276
98088,-86.49901,15.96298
98088,-86.49901,15.96298
98088,-86.49882,15.96339
98088,-86.49882,15.96339
98088,-86.49886,15.96374
98088,-86.49886,15.96374
98088,-86.49896,15.96414
98088,-86.49896,15.96414
98088,-86.49894,15.96442
98088,-86.49894,15.96442
98088,-86.49877,15.96482
98088,-86.49877,15.96482
98088,-86.49878,15.96509
98088,-86.49878,15.96509
98088,-86.49901,15.96521
98088,-86.49901,15.96521
98088,-86.49936,15.96516
98088,-86.49936,15.96516
98088,-86.49939,15.9653
98088,-86.49939,15.9653
98088,-86.49924,15.96587
98088,-86.49924,15.96587
98088,-86.49899,15.96599
98088,-86.49899,15.96599
98088,-86.49894,15.96576
98088,-86.49894,15.96576
98088,-86.49868,15.96536
98088,-86.49868,15.96536
98088,-86.49823,15.96506
98088,-86.49823,15.96506
98088,-86.49799,15.96465
98088,-86.49799,15.96465
98088,-86.49796,15.96412
98088,-86.49796,15.96412
98088,-86.4981,15.9635
98088,-86.4981,15.9635
98088,-86.49797,15.96238
98088,-86.49797,15.96238
98088,-86.49802,15.96126
98088,-86.49802,15.96126
98088,-86.49789,15.96036
98088,-86.49789,15.96036
98088,-86.49753,15.95993
98088,-86.49753,15.95993
98088,-86.49706,15.95926
98088,-86.49706,15.95926
98088,-86.49697,15.9589
98088,-86.49697,15.9589
98088,-86.49667,15.95855
98088,-86.49667,15.95855
98088,-86.49661,15.95797
98088,-86.49661,15.95797
98088,-86.49653,15.95706
98088,-86.49653,15.95706
98088,-86.49665,15.95624
98088,-86.49665,15.95624
98088,-86.49728,15.95548
98088,-86.49728,15.95548
98088,-86.49753,15.95502
98088,-86.49753,15.95502
98088,-86.49755,15.95452
98088,-86.49755,15.95452
98088,-86.4977,15.9541
98088,-86.4977,15.9541
98088,-86.49805,15.95366
98088,-86.49805,15.95366
98088,-86.49815,15.95337
98088,-86.49815,15.95337
98088,-86.49802,15.95266
98088,-86.49802,15.95266
98088,-86.49823,15.95235
98088,-86.49823,15.95235
98088,-86.49856,15.95233
98088,-86.49856,15.95233
98088,-86.49908,15.95246
98088,-86.49908,15.95246
98088,-86.49971,15.95255
98088,-86.49971,15.95255
98088,-86.50037,15.95245
98088,-86.50037,15.95245
98088,-86.50087,15.95222
98088,-86.50087,15.95222
98088,-86.50177,15.95268
98088,-86.50177,15.95268
98088,-86.50248,15.95393
98088,-86.50248,15.95393
98088,-86.50276,15.95384
98088,-86.50276,15.95384
98088,-86.50333,15.95419
98088,-86.50333,15.95419
98088,-86.50353,15.95451
98088,-86.50353,15.95451
98088,-86.50339,15.95487
98088,-86.50339,15.95487
98088,-86.50405,15.95516
98088,-86.50405,15.95516
98088,-86.50414,15.95495
98088,-86.50414,15.95495
98088,-86.50485,15.95491
98088,-86.50485,15.95491
98088,-86.50551,15.95483
98088,-86.50551,15.95483
98088,-86.50539,15.95516
98088,-86.50539,15.95516
98088,-86.50569,15.95535
98088,-86.50569,15.95535
98088,-86.506,15.95576
98088,-86.506,15.95576
98088,-86.5064,15.95592
98088,-86.5064,15.95592
98088,-86.50706,15.9558
98088,-86.50706,15.9558
98088,-86.50732,15.95612
98088,-86.50732,15.95612
98088,-86.50752,15.95614
98088,-86.50752,15.95614
98088,-86.50753,15.95628
98088,-86.50753,15.95628
98088,-86.50724,15.95633
98088,-86.50724,15.95633
98088,-86.50701,15.95656
98088,-86.50701,15.95656
98088,-86.50656,15.95738
98088,-86.50656,15.95738
98088,-86.50687,15.95846
98088,-86.50687,15.95846
98088,-86.50678,15.95865
98090,-86.51914,15.95105
98090,-86.51994,15.95105
98090,-86.51994,15.95105
98090,-86.521,15.9517
98090,-86.521,15.9517
98090,-86.521,15.95195
98090,-86.521,15.95195
98090,-86.51861,15.95221
98090,-86.51861,15.95221
98090,-86.51834,15.95143
98090,-86.51834,15.95143
98090,-86.51914,15.95105
98095,-86.99957,16.06896
98095,-87.00036,16.06896
98095,-87.00036,16.06896
98095,-87.00036,16.06946
98095,-87.00036,16.06946
98095,-86.99957,16.0692
98095,-86.99957,16.0692
98095,-86.99957,16.06896
98103,-86.50319,15.94187
98103,-86.50398,15.94212
