ROT,St,Net,MinZ,MaxZ,Family,Genus,Species,Pre,Post,Total\,
1,F,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
1,F,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
1,G,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,G,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
1,G,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
1,G,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,1,2\,
1,M,1,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,C,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,4,4\,
2,C,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,G,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,G,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,I,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
2,P,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
2,P,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
2,Q,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,A,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,C,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
3,C,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,6,6\,
3,C,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,5,5\,
3,C,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,D,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,13,13\,
3,D,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,10,10\,
3,D,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,6,6\,
3,D,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,7,7\,
3,E,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,4,4\,
3,E,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,12,12\,
3,E,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,5,5\,
3,E,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,9,9\,
3,E,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,F,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,F,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,F,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,F,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,10,10\,
3,F,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,6,6\,
3,G,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
3,G,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,G,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,H,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,H,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,J,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,J,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,K,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,K,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,0,0\,
3,L,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
3,L,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,L,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,M,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,M,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,6,6\,
3,M,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,12,13\,
3,O,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,9,9\,
3,O,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,5,5\,
3,O,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
3,P,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
3,P,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,Q,3,40,60,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,S,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
3,S,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,3,3\,
3,S,5,0,20,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
4,D,1,80,100,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
4,E,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
4,H,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
4,H,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
4,J,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,2,2\,
4,Q,2,60,80,Gobiidae,Coryphopterus,Cor glau,0,1,1\,
5,C,4,20,40,Gobiidae,Coryphopterus,Cor glau,0,4,4\,
5,M,4,20,40,Gobiidae,Coryphopterus,Cor glau,1,1,2\,
2,E,4,20,40,Gobiidae,Coryphopterus,Cor glauc,0,3,3\,
8,S,4,20,40,Gobiidae,Coryphopterus,Coryphopterrus C21,0,3,3\,
7,X,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
8,A,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
8,G,2,60,80,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
8,P,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
1,A,1,80,100,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
1,C,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
2,C,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
3,C,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,2,2\,
3,F,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
3,G,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
3,H,1,80,100,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
3,H,2,60,80,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
3,I,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
3,M,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,2,2\,
3,O,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
4,A,2,60,80,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
4,O,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,1,0,1\,
5,F,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
5,G,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,1,1,2\,
5,J,1,80,100,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
5,M,2,60,80,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
5,O,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,2,0,2\,
5,W,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,1,0,1\,
5,X,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,1,0,1\,
5,X,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,1,0,1\,
6,A,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,7,9,16\,
6,A,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,2,3,5\,
6,A,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
6,C,5,0,40,Gobiidae,Coryphopterus,Coryphopterus,1,0,1\,
6,D,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,1,0,1\,
6,E,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
6,E,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
6,F,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
6,I,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
6,L,3,40,60,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
6,O,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,1,0,1\,
6,P,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,2,0,2\,
6,Q,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
6,R,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,2,2\,
7,C,2,60,80,Gobiidae,Coryphopterus,Coryphopterus,0,2,2\,
7,D,4,20,40,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
7,I,5,0,20,Gobiidae,Coryphopterus,Coryphopterus,0,1,1\,
7,K,4,20,40,Gobiidae,Coryphopterus,Coryphopterus B,0,1,1\,
8,P,2,60,80,Gobiidae,Coryphopterus,Coryphopterus B,0,1,1\,
7,I,2,60,80,Gobiidae,Coryphopterus,Coryphopterus B,0,1,1\,
7,K,4,20,40,Gobiidae,Coryphopterus,Coryphopterus B,0,1,1\,
4,J,3,40,60,Gobiidae,Coryphopterus,Coryphopterus B4,0,1,1\,
4,T,4,20,40,Gobiidae,Coryphopterus,Coryphopterus B4,0,1,1\,
8,M,5,0,20,Gobiidae,Coryphopterus,Coryphopterus B4,0,2,2\,
8,O,3,40,60,Gobiidae,Coryphopterus,Coryphopterus B4,0,1,1\,
8,S,3,40,60,Gobiidae,Coryphopterus,Coryphopterus B4,0,3,3\,
8,S,4,20,40,Gobiidae,Coryphopterus,Coryphopterus B4,0,1,1\,
8,V,3,40,60,Gobiidae,Coryphopterus,Coryphopterus B4,0,1,1\,
8,W,2,60,80,Gobiidae,Coryphopterus,Coryphopterus B4,0,1,1\,
8,W,3,40,60,Gobiidae,Coryphopterus,Coryphopterus B4,0,2,2\,
8,D,5,0,20,Gobiidae,Coryphopterus,Coryphopterus C21,0,9,9\,
8,F,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C21,1,4,5\,
8,G,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C21,0,28,28\,
8,G,5,0,20,Gobiidae,Coryphopterus,Coryphopterus C21,0,8,8\,
8,I,3,40,60,Gobiidae,Coryphopterus,Coryphopterus C21,0,3,3\,
8,I,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C21,0,5,5\,
8,J,5,0,20,Gobiidae,Coryphopterus,Coryphopterus C21,1,16,17\,
8,M,5,0,20,Gobiidae,Coryphopterus,Coryphopterus C21,0,1,1\,
8,O,3,40,60,Gobiidae,Coryphopterus,Coryphopterus C21,0,1,1\,
8,O,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C21,0,1,1\,
8,Q,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C21,0,2,2\,
8,W,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C21,0,2,2\,
8,K,5,0,20,Gobiidae,Coryphopterus,Coryphopterus C211,1,0,1\,
8,I,3,40,60,Gobiidae,Coryphopterus,Coryphopterus C214,0,1,1\,
8,I,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C214,0,1,1\,
8,J,1,80,100,Gobiidae,Coryphopterus,Coryphopterus C214,0,1,1\,
8,J,3,40,60,Gobiidae,Coryphopterus,Coryphopterus C214,0,1,1\,
8,J,4,20,40,Gobiidae,Coryphopterus,Coryphopterus C214,0,1,1\,
8,K,2,60,80,Gobiidae,Coryphopterus,Coryphopterus C214,0,2,2\,
8,E,5,0,20,Gobiidae,Coryphopterus,coryphopterus B,0,6,6\,
8,D,3,40,60,Gobiidae,Coryphopterus,coryphopterus B4,0,1,1\,
8,K,3,40,60,Gobiidae,Coryphopterus,coryphopterus B4,0,1,1\,
8,M,4,20,40,Gobiidae,Coryphopterus,coryphopterus C21,0,9,9\,
1,D,4,20,40,Gobiidae,coryphopterus,Cor glau,0,13,13\,
1,D,5,0,20,Gobiidae,coryphopterus,Cor glau,0,8,8\,
8,C,3,40,60,Gobiidae,coryphopterus,Cor glau,0,5,5\,
8,S,5,0,20,Gobiidae,coryphopterus,Cor glau,1,0,1\,
8,L,4,20,40,Gobiidae,coryphopterus,Coryphopterus B4,0,1,1\,
8,C,3,40,60,Gobiidae,coryphopterus,Coryphopterus C21,6,67,73\,
8,C,4,20,40,Gobiidae,coryphopterus,Coryphopterus C21,0,1,1\,
8,C,5,0,20,Gobiidae,coryphopterus,Coryphopterus C21,0,8,8\,
8,G,2,60,80,Gobiidae,coryphopterus,Coryphopterus C21,0,1,1\,
8,H,4,20,40,Gobiidae,coryphopterus,Coryphopterus C21,0,8,8\,
8,H,5,0,20,Gobiidae,coryphopterus,Coryphopterus C21,0,2,2\,
8,L,4,20,40,Gobiidae,coryphopterus,Coryphopterus C21,0,5,5\,
8,L,5,0,20,Gobiidae,coryphopterus,Coryphopterus C21,0,3,3\,
8,R,3,40,60,Gobiidae,coryphopterus,Coryphopterus C21,0,1,1\,
8,C,4,20,40,Gobiidae,coryphopterus,Coryphopterus C214,0,1,1\,
8,C,5,0,20,Gobiidae,coryphopterus,Coryphopterus C214,0,1,1\,
8,G,3,40,60,Gobiidae,coryphopterus,Coryphopterus C214,0,1,1\,
8,P,5,0,20,Gobiidae,coryphopterus,coryphopterus C21,0,1,1\,
1,F,2,60,80,Gobiidae,coryphopterus,Cor glau,0,1,1\,
1,F,3,40,60,Gobiidae,coryphopterus,Cor glau,0,8,8\,
8,O,4,20,40,Gobiidae,coryphopterus,Coryphopterus B4,0,2,2\,
5,A,2,60,80,Gobiidae,Ctenogobius,Ctenogobius,0,29,29\,
5,A,3,40,60,Gobiidae,Ctenogobius,Ctenogobius,0,5,5\,
5,E,3,40,60,Gobiidae,Ctenogobius,Ctenogobius,0,1,1\,
5,F,1,80,100,Gobiidae,Ctenogobius,Ctenogobius,0,1,1\,
5,F,2,60,80,Gobiidae,Ctenogobius,Ctenogobius,0,4,4\,
5,F,3,40,60,Gobiidae,Ctenogobius,Ctenogobius,0,25,25\,
5,F,4,20,40,Gobiidae,Ctenogobius,Ctenogobius,0,8,8\,
5,F,5,0,20,Gobiidae,Ctenogobius,Ctenogobius,0,71,71\,
5,G,3,40,60,Gobiidae,Ctenogobius,Ctenogobius,0,3,3\,
5,G,4,20,40,Gobiidae,Ctenogobius,Ctenogobius,0,13,13\,
5,G,5,0,20,Gobiidae,Ctenogobius,Ctenogobius,0,68,68\,
5,H,2,60,80,Gobiidae,Ctenogobius,Ctenogobius,0,1,1\,
5,H,5,0,20,Gobiidae,Ctenogobius,Ctenogobius,0,8,8\,
5,I,5,0,20,Gobiidae,Ctenogobius,Ctenogobius,0,11,11\,
5,J,1,80,100,Gobiidae,Ctenogobius,Ctenogobius,0,4,4\,
5,J,5,0,20,Gobiidae,Ctenogobius,Ctenogobius,0,1,1\,
5,K,1,80,100,Gobiidae,Ctenogobius,Ctenogobius,0,1,1\,
5,L,4,40,60,Gobiidae,Ctenogobius,Ctenogobius,0,4,4\,
5,M,2,60,80,Gobiidae,Ctenogobius,Ctenogobius,0,3,3\,
5,M,4,20,40,Gobiidae,Ctenogobius,Ctenogobius,1,5,6\,
5,M,5,0,20,Gobiidae,Ctenogobius,Ctenogobius,0,15,15\,
5,O,1,80,100,Gobiidae,Ctenogobius,Ctenogobius,0,3,3\,
5,O,3,40,60,Gobiidae,Ctenogobius,Ctenogobius,0,9,9\,
5,O,4,20,40,Gobiidae,Ctenogobius,Ctenogobius,0,7,7\,
5,P,2,60,80,Gobiidae,Ctenogobius,Ctenogobius,0,7,7\,
