"","deploy_id","leg","date_start","date_stop","time_start","time_stop","disc_id","depth..m.","fish_vial","bin_id","batch_id","fish_age..dph.","lat_start","lon_start","lat_stop","lon_stop","sky","sea","wind_dir","wind_speed","tide","location","start_wp","end_wp","drift_direction","drift_distance","In_Behavior","Out_Behavior","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","meanTemp","maxTemp","minTemp","meanLight","maxLight","minLight","rotationRange","art","current_strength","current_bearing","wind_bearing","zenith","azimuth","azmean","lat","lon","tran_lat","tran_lon","tran_ang","tran_bearing","lab_lat","lab_lon","lab_ang","lab_bearing","moonAlt","moonAz","moonHor","moon_bearing"
"1","105","2016-06-21-1","6/21/2016","6/21/2016","10:44:00","11:04:00","A","18",60,"10","23",18,16.81715,-88.0717166666667,16.8163833333333,-88.07235,"mixed","3",60,2,"ebb","near","83","x",NA,1,"5","5",490,333.468464608862,3.213314941672,1.23760708326667,0.0822712282327575,0.471932886767728,0.528067113232272,4.55495796197472e-60,TRUE,450,41.2780390990453,0.355555555555556,469,0.643052717831231,0.26636851055067,0.611435844075346,86.3093555555556,86.459,86.277,1182.22222222222,1664,768,152.300225885941,FALSE,0.0666666666666667,NA,273.468464608862,15.5996641009218,62.3990619232719,-271.06940268559,16.8167666666667,-88.0720333333333,16.8175333,-88.0766,279.529721079017,-53.9387435298447,16.8154833,-88.0816,262.359397131206,-71.1090674776555,-75,263,FALSE,70.468464608862
"2","107","2016-06-21-1","6/21/2016","6/21/2016","11:37:00","11:57:00","A","18",9,"10","23",18,16.8163833333333,-88.07235,NA,NA,"clear","3",60,2,"ebb","near","84","x",209,27,"5","4",515,237.177324712015,9.94651589312096,0.36188454358872,0.0638485673722113,0.821954325202773,0.178045674797227,8.1258119232811e-08,FALSE,479,41.1487229251286,0.352818371607516,497,0.555516951859367,0.264104845006922,0.523681764290816,86.2773111111111,86.459,86.097,1110.4,1728,384,404.327690754039,TRUE,1.8,28.177324712015,177.177324712015,6.84438279457825,14.0551547346884,-223.122169977327,16.8163833333333,-88.07235,16.8175333,-88.0766,285.140565113482,47.9632404014675,16.8154833,-88.0816,264.44256325552,27.2652385435048,-73,263,FALSE,-25.822675287985
"3","111","2016-06-21-2","6/21/2016","6/21/2016","15:34:00","15:54:00","A","18",3,"10","23",18,16.8153,-88.07285,NA,NA,"light clouds","4",60,3,"ebb","near","87","x",195,81,"5","5",593,110.887332595055,3.52048484676416,1.00034817908695,0.0689932704697833,0.552218762506416,0.447781237493584,2.30057502251719e-52,TRUE,581,43.2600892064227,0.392426850258176,587,0.874414090090414,0.350779294817701,0.859746850133295,86.109,86.277,86.097,473.244444444444,608,224,378.14002332528,FALSE,5.4,-84.112667404945,50.887332595055,53.997073854942,287.10815496626,176.220822371205,16.8153,-88.07285,16.8175333,-88.0766,300.775772279797,189.888439684742,16.8154833,-88.0816,271.200089200118,160.312756605063,-53,98,FALSE,12.887332595055
"4","113","6/22/2016","6/22/2016","6/22/2016","12:45:00","13:05:00","A","18",1,"18","18",30,16.8167833333333,-88.0719166666667,16.8133166666667,-88.0720833333333,"rain","4",90,4,"ebb","near","89","x",NA,1,"5","5",676,19.0053382722434,22.597660769562,0.13807570153815,0.0545872784265939,0.931126150219474,0.068873849780526,0.0404908824013389,FALSE,674,43.8494536061209,0.369436201780415,675,0.673467365428069,0.270663259123112,0.680572872556046,85.374,85.374,85.374,102.233333333333,115,90,190.944930248235,TRUE,0.0666666666666667,NA,-70.9946617277566,15.6611428872205,297.443829949134,278.438491676891,16.81505,-88.072,16.8175333,-88.0766,298.362295381514,279.356957109271,16.8154833,-88.0816,272.584314906791,253.578976634548,-77,269,FALSE,-249.994661727757
"5","117","6/22/2016","6/22/2016","6/22/2016","14:39:00","14:59:00","A","18",5,"17","17",30,16.8072,-88.0719833333333,16.8028833333333,-88.0713333333333,"cloudy","3",80,3,"ebb","near","91","x",181,117,"5","4",676,76.8890506941312,26.157747698388,0.119247516621459,0.0545378610155577,0.94048197109023,0.0595180289097704,0.0912037250995971,FALSE,674,60.7067688415055,0.531157270029674,675,0.501979283118487,0.342707790881199,0.427075602726703,85.735,85.735,85.735,336.355555555556,480,288,179.004964375106,FALSE,7.8,-104.110949305869,-3.1109493058688,41.3443587582991,286.57956706529,209.690516371159,16.8050416666667,-88.0716583333333,16.8175333,-88.0766,338.416341649665,261.527290955533,16.8154833,-88.0816,316.405083434089,239.516032739957,-77,90,FALSE,-13.1109493058688
"6","119","6/22/2016","6/22/2016","6/22/2016","15:26:00","15:46:00","A","18",7,"17","17",30,16.8028833333333,-88.0713333333333,NA,NA,"cloudy","4",0,3,"ebb","near","92","x",176,122,"5","5",676,46.7197567999344,10.1228774650197,0.309697711771939,0.0553713217676431,0.846977675905412,0.153022324094588,1.33508297189538e-07,TRUE,674,37.6730252985817,0.317507418397626,675,0.511600794977722,0.221263928970807,0.490585677269241,85.438,85.554,85.374,181.333333333333,232,136,87.1835867473868,FALSE,8.13333333333333,-129.280243200066,46.7197567999344,52.1180242303504,286.927155046175,240.20739824624,16.8028833333333,-88.0713333333333,16.8175333,-88.0766,340.226476136583,293.506719336649,16.8154833,-88.0816,320.826267803366,274.106511003432,-66,93,FALSE,-46.2802432000656
"7","121","6/24/2016","6/24/2016","6/24/2016","13:53:00","14:13:00","A","18",1,"20","20",30,16.8198166666667,-88.0719333333333,16.8172666666667,-88.0726166666667,"mixed","4",90,4,"ebb","near","94","x",NA,1,"5","5",627,213.487600222263,4.92842273522359,0.674678582746665,0.0613047002742174,0.680376791185525,0.319623208814476,1.51997267020601e-28,TRUE,623,46.6450309233464,0.396468699839486,625,0.861580613006759,0.317952411845371,0.860894384446061,85.7249444444444,85.735,85.554,465.688888888889,576,184,256.10027679169,FALSE,0.0666666666666667,NA,123.487600222263,30.713824577358,287.632955021234,74.1453547989713,16.8185416666667,-88.072275,16.8175333,-88.0766,256.876028955231,43.388428732968,16.8154833,-88.0816,251.841803958899,38.3542037366356,-70,284,FALSE,-70.512399777737
"8","123","6/24/2016","6/24/2016","6/24/2016","14:49:00","15:09:00","A","18",2,"20","20",30,16.8172666666667,-88.0726166666667,16.8132833333333,-88.0728333333333,"mixed","4",90,4,"ebb","near","95","x",183,97,"5","5",596,239.487705305991,3.1307532347986,1.13886456964129,0.0720451618434296,0.504058827864548,0.495941172135452,2.16991675495315e-64,TRUE,563,56.5673618615434,0.520426287744227,576,0.601704056760803,0.293065927691256,0.563606581682624,85.6605888888889,85.735,85.554,329.777777777778,512,160,304.060139177817,FALSE,6.46666666666667,56.487705305991,149.487705305991,43.5392149420632,286.48236484674,46.994659540749,16.815275,-88.072725,16.8175333,-88.0766,300.23308044552,60.7453751395294,16.8154833,-88.0816,271.344509311786,31.8568040057951,-80,305,FALSE,-65.512294694009
"9","125","6/24/2016","6/24/2016","6/24/2016","15:50:00","16:10:00","A","18",3,"20","20",30,16.8132833333333,-88.0728333333333,NA,NA,"mixed","4",90,4,"ebb","near","96","x",185,100,"5","5",627,129.626259222283,0.53718914629411,18.6506872946754,1.0382846707612,0.0271883146016774,0.972811685398323,2.00896429322075e-258,TRUE,623,73.7343080634261,0.592295345104334,625,0.22845344781304,0.160155147229094,0.186417111209137,85.6384666666667,85.735,85.554,381.333333333333,496,232,320.130113141634,FALSE,6.66666666666667,-55.373740777717,39.626259222283,57.5113026380066,287.394630850152,157.768371627869,16.8132833333333,-88.0728333333333,16.8175333,-88.0766,318.450023716252,188.823764493969,16.8154833,-88.0816,284.087286967344,154.461027745061,-81,47,FALSE,82.626259222283
"10","126","2016-06-25-1","6/25/2016","6/25/2016","6:54:00","7:14:00","A","18",2,"4","26",20,16.81971,-88.073345,16.81877,-88.07429,"mixed","4",90,4,"ebb","near","no boat gps","x",224,23,"5","5",497,224.825928211497,3.93326001556888,0.975547476385403,0.0747782027247912,0.561235905791672,0.438764094208328,2.79868737780538e-42,TRUE,445,60.1369072503255,0.557303370786517,470,0.711901831138577,0.334045518238754,0.664783285281945,85.124,85.194,85.014,188.422222222222,272,123,284.333400994486,FALSE,1.53333333333333,0.825928211497001,134.825928211497,67.9694018040109,71.0674721106514,-153.758456100846,16.81924,-88.0738175,16.8175333,-88.0766,238.476326497001,13.6503982855044,16.8154833,-88.0816,244.232875376069,19.4069471645721,38,243,TRUE,-18.174071788503
