"","deploy_id","leg","date_start","date_stop","time_start","time_stop","moonAlt","moonAz","moonHor","disc_id","depth..m.","fish_vial","fish_age..dph.","bin_id","batch_id","fish_id","lat_start","lon_start","lat_stop","lon_stop","sky","sea","wind_dir","wind_speed","tide","location","Location_Conservative","start_wp","end_wp","drift_direction","drift_distance","In_Behavior","Out_Behavior","cam_OK","comments","larvae_ok","Success","status","tracking_notes","trackNb","rotation","n","mean","se.mean","kappa","se.kappa","variance","r","p.value","signif","dir.n","dir.mean","dir.se.mean","dir.kappa","dir.se.kappa","dir.variance","dir.r","dir.p.value","dir.signif","turn.n","turn.abs.mean","turn.freq.gt45","speed.n","speed.mean","speed.sd","speed.median","speed.mad","bin.angle","fileName","X","meanTemp","maxTemp","minTemp","meanLight","maxLight","minLight","X","rw","rr","art","rotationRange","enoughRotation","dateTime","current_bearing","wind_bearing","roughlat","roughlon","dateTimeGMT","zenith","azimuth"
"1","105","2016-06-21-1","6/21/2016","6/21/2016","10:44:00","11:04:00",-75,263,FALSE,"A","18",60,18,"10","23","105",16.81715,-88.0717166666667,16.8163833333333,-88.07235,"mixed","3",60,2,"ebb","near","near","83","x",NA,1,"5","5","","larva in 10:35"," drop 10:37","retrieved alive","","",1,"rotated",490,333.468464608862,3.213314941672,1.23760708326667,0.0822712282327575,0.471932886767728,0.528067113232272,4.55495796197472e-60,TRUE,469,80.9439280742229,85.5816574761039,0.043724252971922,0.0653257235572204,0.978143096378743,0.0218569036212567,0.799273038234458,FALSE,450,41.2780390990453,0.355555555555556,469,0.643052717831231,0.26636851055067,0.611435844075346,0.240441899051933,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/105/stats.csv",9,86.3093555555556,86.459,86.277,1182.22222222222,1664,768,17,0.512988434405862,0.528067113232272,FALSE,152.300225885941,TRUE,2016-06-21 10:54:00,NA,273.468464608862,16.815663,-88.082242,2016-06-21 16:54:00,15.5996641009218,62.3990619232719
"2","107","2016-06-21-1","6/21/2016","6/21/2016","11:37:00","11:57:00",-73,263,FALSE,"A","18",9,18,"10","23","107",16.8163833333333,-88.07235,NA,NA,"clear","3",60,2,"ebb","near","near","84","x",209,27,"5","4","","larva in 11:06"," drop 11:20","retrieved alive","","",1,"rotated",515,237.177324712015,9.94651589312096,0.36188454358872,0.0638485673722113,0.821954325202773,0.178045674797227,8.1258119232811e-08,TRUE,497,134.665824666384,29.6714950273795,0.122610432475998,0.0636149677034469,0.938809697193113,0.0611903028068866,0.155533549328296,FALSE,479,41.1487229251286,0.352818371607516,497,0.555516951859367,0.264104845006922,0.523681764290816,0.235343215967223,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/107/stats.csv",10,86.2773111111111,86.459,86.097,1110.4,1728,384,18,0.220641635291154,0.178045674797227,TRUE,404.327690754039,TRUE,2016-06-21 11:47:00,28.177324712015,177.177324712015,16.815663,-88.082242,2016-06-21 17:47:00,6.84438279457825,14.0551547346884
"3","111","2016-06-21-2","6/21/2016","6/21/2016","15:34:00","15:54:00",-53,98,FALSE,"A","18",3,18,"10","23","111",16.8153,-88.07285,NA,NA,"light clouds","4",60,3,"ebb","near","near","87","x",195,81,"5","5","","","","","","",1,"rotated",593,110.887332595055,3.52048484676416,1.00034817908695,0.0689932704697833,0.552218762506416,0.447781237493584,2.30057502251719e-52,TRUE,587,0.422674585234176,77.4588072143723,0.04318156495383,0.058391248369721,0.978414248358741,0.0215857516412591,0.760705091678012,FALSE,581,43.2600892064227,0.392426850258176,587,0.874414090090414,0.350779294817701,0.859746850133295,0.336960467080884,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/111/stats.csv",11,86.109,86.277,86.097,473.244444444444,608,224,19,0.37960626907899,0.447781237493584,FALSE,378.14002332528,TRUE,2016-06-21 15:44:00,-84.112667404945,50.887332595055,16.815663,-88.082242,2016-06-21 21:44:00,53.997073854942,287.10815496626
"4","113","6/22/2016","6/22/2016","6/22/2016","12:45:00","13:05:00",-77,269,FALSE,"A","18",1,30,"18","18","113",16.8167833333333,-88.0719166666667,16.8133166666667,-88.0720833333333,"rain","4",90,4,"ebb","near","near","89","x",NA,1,"5","5","","larva in 12:35"," drop 12:39","lost","","",1,"rotated",676,19.0053382722434,22.597660769562,0.13807570153815,0.0545872784265939,0.931126150219474,0.068873849780526,0.0404908824013389,TRUE,675,236.657152431695,115.031424703222,0.0271137257026041,0.0544406085496612,0.986444382793992,0.0135556172060083,0.883349398778293,FALSE,674,43.8494536061209,0.369436201780415,675,0.673467365428069,0.270663259123112,0.680572872556046,0.283149725314102,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/113/stats.csv",12,85.374,85.374,85.374,102.233333333333,115,90,20,0.10682265544957,0.068873849780526,TRUE,190.944930248235,TRUE,2016-06-22 12:55:00,NA,-70.9946617277566,16.815663,-88.082242,2016-06-22 18:55:00,15.6611428872205,297.443829949134
"5","117","6/22/2016","6/22/2016","6/22/2016","14:39:00","14:59:00",-77,90,FALSE,"A","18",5,30,"17","17","117",16.8072,-88.0719833333333,16.8028833333333,-88.0713333333333,"cloudy","3",80,3,"ebb","near","near","91","x",181,117,"5","4","","larva in 14:21"," drop 14:24","  (495m off wall)","retrieved alive","",1,"rotated",676,76.8890506941312,26.157747698388,0.119247516621459,0.0545378610155577,0.94048197109023,0.0595180289097704,0.0912037250995971,FALSE,675,86.8723367519132,34.5252265985396,0.0903796672756187,0.0545164769946568,0.954856245036981,0.0451437549630189,0.25268236250408,FALSE,674,60.7067688415055,0.531157270029674,675,0.501979283118487,0.342707790881199,0.427075602726703,0.315156078462175,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/117/stats.csv",13,85.735,85.735,85.735,336.355555555556,480,288,22,0.00787303918053028,0.0595180289097704,FALSE,179.004964375106,TRUE,2016-06-22 14:49:00,-104.110949305869,-3.1109493058688,16.815663,-88.082242,2016-06-22 20:49:00,41.3443587582991,286.57956706529
"6","119","6/22/2016","6/22/2016","6/22/2016","15:26:00","15:46:00",-66,93,FALSE,"A","18",7,30,"17","17","119",16.8028833333333,-88.0713333333333,NA,NA,"cloudy","4",0,3,"ebb","near","far*","92","x",176,122,"5","5","","larva in 15:09"," drop 15:12","technically far but could be consider as near (533m off the wall)","retrieved alive","",1,"rotated",676,46.7197567999344,10.1228774650197,0.309697711771939,0.0553713217676431,0.846977675905412,0.153022324094588,1.33508297189538e-07,TRUE,675,94.6371243289551,65.8179029978937,0.047391739731097,0.0544560284804842,0.976310780190835,0.0236892198091654,0.684685331567075,FALSE,674,37.6730252985817,0.317507418397626,675,0.511600794977722,0.221263928970807,0.490585677269241,0.182185831330641,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/119/stats.csv",14,85.438,85.554,85.374,181.333333333333,232,136,23,0.152043944053965,0.153022324094588,FALSE,87.1835867473868,TRUE,2016-06-22 15:36:00,-129.280243200066,46.7197567999344,16.815663,-88.082242,2016-06-22 21:36:00,52.1180242303504,286.927155046175
"7","121","6/24/2016","6/24/2016","6/24/2016","13:53:00","14:13:00",-70,284,FALSE,"A","18",1,30,"20","20","121",16.8198166666667,-88.0719333333333,16.8172666666667,-88.0726166666667,"mixed","4",90,4,"ebb","near","near","94","x",NA,1,"5","5","","larva in 13:43; drop 13:46; bad weather, more than choppy","retrieved alive","","","",1,"rotated",627,213.487600222263,4.92842273522359,0.674678582746665,0.0613047002742174,0.680376791185525,0.319623208814476,1.51997267020601e-28,TRUE,625,196.981894760474,77.3587921326977,0.0419020808698297,0.0565871655140046,0.979053556407915,0.0209464435920847,0.76016410834963,FALSE,623,46.6450309233464,0.396468699839486,625,0.861580613006759,0.317952411845371,0.860894384446061,0.315794048617578,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/121/stats.csv",15,85.7249444444444,85.735,85.554,465.688888888889,576,184,25,0.332291334110291,0.319623208814476,FALSE,256.10027679169,TRUE,2016-06-24 14:03:00,NA,123.487600222263,16.815663,-88.082242,2016-06-24 20:03:00,30.713824577358,287.632955021234
"8","123","6/24/2016","6/24/2016","6/24/2016","14:49:00","15:09:00",-80,305,FALSE,"A","18",2,30,"20","20","123",16.8172666666667,-88.0726166666667,16.8132833333333,-88.0728333333333,"mixed","4",90,4,"ebb","near","near","95","x",183,97,"5","5","","larva in 14:31"," drop 14:33"," bad sea","retrieved alive","",1,"rotated",596,239.487705305991,3.1307532347986,1.13886456964129,0.0720451618434296,0.504058827864548,0.495941172135452,2.16991675495315e-64,TRUE,576,103.689742439847,45.4579322876214,0.0742961748315173,0.0589865533585711,0.962877520803466,0.0371224791965336,0.452135577485183,FALSE,563,56.5673618615434,0.520426287744227,576,0.601704056760803,0.293065927691256,0.563606581682624,0.258216371210921,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/123/stats.csv",16,85.6605888888889,85.735,85.554,329.777777777778,512,160,27,0.491089872623072,0.495941172135452,FALSE,304.060139177817,TRUE,2016-06-24 14:59:00,56.487705305991,149.487705305991,16.815663,-88.082242,2016-06-24 20:59:00,43.5392149420632,286.48236484674
"9","125","6/24/2016","6/24/2016","6/24/2016","15:50:00","16:10:00",-81,47,FALSE,"A","18",3,30,"20","20","125",16.8132833333333,-88.0728333333333,NA,NA,"mixed","4",90,4,"ebb","near","near","96","x",185,100,"5","5","","larva in 15:24"," drop 15:29"," boat leaves 15:50"," all the other larvae are dead"," last trial of the day",1,"rotated",627,129.626259222283,0.53718914629411,18.6506872946754,1.0382846707612,0.0271883146016774,0.972811685398323,2.00896429322075e-258,TRUE,625,347.58825487144,43.7020142822997,0.0741900191119827,0.0566269240296083,0.962930489118677,0.0370695108813233,0.423652007353701,FALSE,623,73.7343080634261,0.592295345104334,625,0.22845344781304,0.160155147229094,0.186417111209137,0.121188520960903,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/125/stats.csv",17,85.6384666666667,85.735,85.554,381.333333333333,496,232,29,0.933365046773969,0.972811685398323,FALSE,320.130113141634,TRUE,2016-06-24 16:00:00,-55.373740777717,39.626259222283,16.815663,-88.082242,2016-06-24 22:00:00,57.5113026380066,287.394630850152
"10","126","2016-06-25-1","6/25/2016","6/25/2016","6:54:00","7:14:00",38,243,TRUE,"A","18",2,20,"4","26","126",16.81971,-88.073345,16.81877,-88.07429,"mixed","4",90,4,"ebb","near","near","no boat gps","x",224,23,"5","5","","larva in 6:43"," drop 6:45"," fishes around","retrieved alive","",1,"rotated",497,224.825928211497,3.93326001556888,0.975547476385403,0.0747782027247912,0.561235905791672,0.438764094208328,2.79868737780538e-42,TRUE,470,176.462484654669,60.0455330212487,0.0622605814989594,0.0652802205330708,0.968884783605141,0.0311152163948593,0.634426622362221,FALSE,445,60.1369072503255,0.557303370786517,470,0.711901831138577,0.334045518238754,0.664783285281945,0.313147705904429,0,"E:/Belize_DISC_2016/DATA/DISC_A/deployments/126/stats.csv",18,85.124,85.194,85.014,188.422222222222,272,123,30,0.301208986131308,0.438764094208328,FALSE,284.333400994486,TRUE,2016-06-25 07:04:00,0.825928211497001,134.825928211497,16.815663,-88.082242,2016-06-25 13:04:00,67.9694018040109,71.0674721106514
